parent_name,category_name,name,is_opensource,service_provider,website,cost_structure,fee_amount,free_credit,support_structure,sgb_domain,ngo_ref,additional_comments
Monitoring and Evaluation,Reporting,Tech for School,No,Tech for Social Good,www.techforschool.in,15000/Year/500 Student/10 Staff & 25000/Year/1500 Students/15 Staff,,Trial Package for 90 days/50 Student/5 Staff,We provide end to end implementation Support.,4,,
,,Edusystem,Y,Edusystem ,edusystem.co.in,Free & Paid plans,Free for basic features; paid for advanced,Limited free usage,Community and email support,Quality Education,Used by education-focused NGOs,Open source; customizable for various education setups
,,Frappe Framework,Yes,Frappe,https://frappe.io/,- Open-source licensing: Free - Custom implementation and support: Variable (dependent on scope and complexity) - Cloud hosting: Optional (additional cost),Implementation costs (dependent on scope) and  and Annual support and maintenance,NA,- Dhwani RIS implementation team - Frappe community forums - Official Frappe documentation,"Various, including education, healthcare, social welfare, and environmental sustainability","Azim Premji Foundation, Piramal Swasthya",
,Video Conferencing,Jitsi Meet,Yes,"Open-source community
",https://meet.jit.si/,"Free

",N/A,NA,"Community support and forums
",Quality Education,NA,"
Scalable depending on server infrastructure"
,,Google Meet,N,Google LLC,meet.google.com,Free and Workspace subscription,"Free for personal use; paid with Workspace, starts with $6",Free usage for basic,24/7 support with Workspace,"Partnerships, Quality Education",Common among global NGOs,Great for virtual meetings; integrates with Google Workspace
,Business Management,Eduapp,N,Eduapp,eduapp.in,Tiered subscription,On contact,,Email and live support,Quality Education,,Designed for school management; supports digital learning and assessments
,Data Collection,Mform,No,Dhwani RIS,https://dhwaniris.com/mform/,   - One Time Setup Cost: ₹3-6 lakh     - Annual SaaS Fees: ₹4-6 lakh,- First Year: ₹6-8 lakh     - Second Year Onwards: ₹4-6 lakh (SaaS,NA,"Dedicated support team, email support","Various, including education, healthcare, and social welfare","TRIF, Pradan, Nielsen, Helpage India, GGGI",
,,SurveyCTO,No,Dobility,https://www.surveycto.com,https://www.surveycto.com/plans/,"Basic (For one-time data collection or simple ongoing workflows and organizations with limited compliance needs)- $225 per month; Pro (For ongoing data collection workflows and organizations with standard compliance needs)- $315 per month, Advanced (For highly advanced and automated data workflows and organizations with unique requirements)- $630; Enterprise (For organizations looking for a scalable path to high-quality, cost-effective data collection)- Customised",15 day free trial,"SurveyCTO Resource Center, Chatbot, 24x7 support from survey experts",,,"The SurveyCTO Collect Android app interface – so the main screen and buttons surveyors would see before they opened the actual survey form – is available in English, French, Spanish, Arabic, Chinese, Hindi, Bengali, Nepali, and Portuguese. If you want the actual Android app interface in additional languages, in certain cases, we can build a new version of the app with translations for the new language supported (whether we will be able to do this depends on our existing commitments and the popularity of the additional language among other users). If you would like to further discuss this option, please contact us at info@surveycto.com. The SurveyCTO Collect iOS app interface is only available in English.

The SurveyCTO server console and documentation, as well as the web form interface (the buttons that are independent of your survey form, which can be in any language) are available in English only at the moment. However, since the documentation is publicly-available, you can translate it on your web browser."
,,Jotform,No,Jotform,https://www.jotform.com,https://www.jotform.com/pricing/," The monthly fee for paid plans typically ranges from approximately $34 to $99 (USD), depending on factors like storage, submissions, and team access. There are discounts for annual billing and additional options for nonprofits at a reduced rate. ","Starter Free subscription (5 Forms Form Limit, 100 Monthly Submissions, 1 User per Team, 100 MB Available Space, 1,000 Monthly Form Views
500 Total Submission Storage, 100 Fields per form, 10 Monthly Payment Submissions, 10 Monthly Signed Documents; 50 per cent discount for nonprofits","Priority support, with options for email and chat assistance for issues related to account management, technical troubleshooting, and form-building guidance",,,"Jotform also offers an entire suite of tools to streamline data management. Organize form data in Jotform Tables, manage responses in Jotform Inbox, and create fillable PDF forms in Jotform’s PDF Editor. It also offers more advanced data management tools, like Jotform Workflows to automate workflows, Jotform Report Builder for detailed analytics, and Jotform Sign to securely collect e-signatures. Jotform is a versatile and comprehensive tool that lets you efficiently collect, manage, and analyze data, all in one place."
,,Google Form,No,Google LLC,https://www.google.com/forms/about/,"Google Forms is free for individual users with a Google account. It also comes as part of Google Workspace subscriptions, which offer additional features and higher limits. ",Workspace plans start at $12 per user per month for basic business tools and go up based on features and storage capacity.,Free for individuals,"Google Forms offers support through an extensive Help Center with articles, tutorials, and troubleshooting guides. Users can also access Google’s support through community forums. For Google Workspace users (paid plans), there is additional support via email and chat for more complex issues.",,,
,,Mform,No,Dhwani RIS,https://dhwaniris.com/mform/,   - One Time Setup Cost: ₹3-6 lakh     - Annual SaaS Fees: ₹4-6 lakh,- First Year: ₹6-8 lakh     - Second Year Onwards: ₹4-6 lakh (SaaS,NA,"Dedicated support team, email support","Various, including education, healthcare, and social welfare","TRIF, Pradan, Nielsen, Helpage India, GGGI",
,,SurveyCTO,No,Dobility,https://www.surveycto.com,https://www.surveycto.com/plans/,"Basic (For one-time data collection or simple ongoing workflows and organizations with limited compliance needs)- $225 per month; Pro (For ongoing data collection workflows and organizations with standard compliance needs)- $315 per month, Advanced (For highly advanced and automated data workflows and organizations with unique requirements)- $630; Enterprise (For organizations looking for a scalable path to high-quality, cost-effective data collection)- Customised",15 day free trial,"SurveyCTO Resource Center, Chatbot, 24x7 support from survey experts",,,"The SurveyCTO Collect Android app interface – so the main screen and buttons surveyors would see before they opened the actual survey form – is available in English, French, Spanish, Arabic, Chinese, Hindi, Bengali, Nepali, and Portuguese. If you want the actual Android app interface in additional languages, in certain cases, we can build a new version of the app with translations for the new language supported (whether we will be able to do this depends on our existing commitments and the popularity of the additional language among other users). If you would like to further discuss this option, please contact us at info@surveycto.com. The SurveyCTO Collect iOS app interface is only available in English.

The SurveyCTO server console and documentation, as well as the web form interface (the buttons that are independent of your survey form, which can be in any language) are available in English only at the moment. However, since the documentation is publicly-available, you can translate it on your web browser."
,,Jotform,No,Jotform,https://www.jotform.com,https://www.jotform.com/pricing/," The monthly fee for paid plans typically ranges from approximately $34 to $99 (USD), depending on factors like storage, submissions, and team access. There are discounts for annual billing and additional options for nonprofits at a reduced rate. ","Starter Free subscription (5 Forms Form Limit, 100 Monthly Submissions, 1 User per Team, 100 MB Available Space, 1,000 Monthly Form Views
500 Total Submission Storage, 100 Fields per form, 10 Monthly Payment Submissions, 10 Monthly Signed Documents; 50 per cent discount for nonprofits","Priority support, with options for email and chat assistance for issues related to account management, technical troubleshooting, and form-building guidance",,,"Jotform also offers an entire suite of tools to streamline data management. Organize form data in Jotform Tables, manage responses in Jotform Inbox, and create fillable PDF forms in Jotform’s PDF Editor. It also offers more advanced data management tools, like Jotform Workflows to automate workflows, Jotform Report Builder for detailed analytics, and Jotform Sign to securely collect e-signatures. Jotform is a versatile and comprehensive tool that lets you efficiently collect, manage, and analyze data, all in one place."
,,Google Form,No,Google LLC,https://www.google.com/forms/about/,"Google Forms is free for individual users with a Google account. It also comes as part of Google Workspace subscriptions, which offer additional features and higher limits. ",Workspace plans start at $12 per user per month for basic business tools and go up based on features and storage capacity.,Free for individuals,"Google Forms offers support through an extensive Help Center with articles, tutorials, and troubleshooting guides. Users can also access Google’s support through community forums. For Google Workspace users (paid plans), there is additional support via email and chat for more complex issues.",,,
,,mWater,Yes,mWater Foundation,mwater.co,"Free, subscription options","Free, paid options",Basic free tier,"Email support, community forums",SDG 6 (Clean Water & Sanitation),"Water.org, World Vision",Optimized for WASH-related data collection and management
,,Synergy Survey and Analytics,No,SynergyConnect Data Innovations private Limted,www.synergyconnect.in,SaaS Based Subscription,1.5 Lakhs Onwards,No,24 x 7 Support (India Time),All,Swades Foundation,The platform has been used by large size Foundations
,,Zoho Creator,No,Zoho ,https://www.zoho.com/creator/,Licenses Yearly/Monthly,yearly 18000 | monthly 2220,upto 10% NGO discount,Available from Zoho,"Sustainable Development Goal (SDG) 9: Industry, Innovation, and Infrastructure","Simple Education Foundation, Global School Leaders",It can be used for robust MIS and data management
,,Google Sheets,N,Google,sheets.google.com,Free and subscription-based (Google Workspace),Free for personal; Google Workspace starts at $6/user/month,Free personal use,"Email, community support",Partnerships for the Goals,,"Widely used, simple, and highly flexible"
,,Zoho Forms,No,Zoho ,https://www.zoho.com/forms/,https://www.zoho.com/forms/pricing.html?src=headermenu,,Please send an email to sales@zohocorp.com for discounts which Zoho offers to NGOs.,,,,"Templates  Integrations Solutions by Industry, Size and Role are available for 'ready to use'."
,,Kobo Toolbox,Yes,Kobo,https://www.kobotoolbox.org/,https://www.kobotoolbox.org/pricing/,"Free for basic services, professional plan starts at $159 per month",,https://www.kobotoolbox.org/services/,,,"KoboToolbox is used by over 14,000 organizations around the world. Most of our partners are in the humanitarian, global development, environmental protection, and human rights sectors."
,,InsightOne,N,InsightOne Solutions,https://insightone.com/,"Subscription-based, custom pricing",Varies by service,N/A,Customer Support and Training,"Health, Education",,Analytical tool designed for big data management and insights.
,,CommCare by Dimagi,Y,Dimagi,https://dimagi.com/commcare,"Standard, Pro, Advanced, and Enterprise Plans https://dimagi.com/commcare-pricing/",Standard: $250/mo Pro: $500/mo Advanced: $1000/mo Enterprise: $4000/mo,Discounts for annual payments,"Email, Priority, and Premium Support","Health, Education, Agriculture","Save the Children, Bill & Melinda Gates Foundation",Widely used for mobile data collection and case management by field workers.
,,"
SynergyConnect (Social Integrated platform)",No,Synergy Connect,"https://synergyconnect.in/
https://impactdash.com/
",Customizable pricing,Custom quote,N/A,Email and Chat Support,,,Integration platform designed for social sector connectivity and collaboration.
,,Digital Green AI-Powered Assistant,N,Digital Green,https://digitalgreen.org/,"Free for smallholders, funded model",Mostly free,Funded partnerships for scaling,Online and In-person Support,"SDG 2 (Zero Hunger), SDG 8 (Decent Work)","CARE, USAID","AI-driven support tool aimed at smallholder farmers, helping with agricultural advice."
,,Commons.farm,No,Platform Commons,https://commons.farm,Onboarding and Annual SaaS Fee,Starts from Rs.10 per farmer per month,,,All SDGs,Vrutti,
,Data Analysis,Microsoft Excel,N,Microsoft,microsoft.com/excel,Subscription-based (Office 365),Part of Office 365 starting at 145 rupees/user/month,Free through Office Online,"Email, chat, community support",,,Widely used; strong data analysis capabilities
,,PowerBI,No,Microsoft,https://www.microsoft.com/en-us/power-platform/products/power-bi,https://www.microsoft.com/en-us/power-platform/products/power-bi/pricing,,,,,Sanjhi Sikhiya,
,,Alteryx,No,Alteryx,https://www.alteryx.com/,https://www.alteryx.com/products/pricing,,,https://my.alteryx.com/,,,https://www.alteryx.com/open-source
,,Google DataStudio,Yes,Google,https://cloud.google.com/looker-studio,https://cloud.google.com/looker-studio#pricing,,,,,,
,,Superset,Yes,Apache Software Foundation,https://superset.apache.org/,Free,,,,,https://github.com/apache/superset/blob/master/RESOURCES/INTHEWILD.md,
,,Dalgo,Yes,Tech4Dev,https://dalgo.in/,https://dalgo.in/pricing/,,,,,"Goalkeep, SHRI, TAP, The Agency Fund",
,,Zoho Analytics,No,Zoho,https://www.zoho.com/analytics/,Licenses Yearly/Monthly,yearly 11520 | monthly 1200,upto 10% NGO discount,available from Zoho and implementation through EdZola,SDG 9,"TRRAIN, Simple Education Foundation","used for reporting, dashboards and insights"
,Reporting,Document360,N,Kovai.co,document360.com,Subscription-based https://document360.com/pricing/,Starts at $199/project/month,6 months of free access to startups,Email and online help center,,,Useful for creating knowledge bases
,,Zoho Analytics,No,Zoho,https://www.zoho.com/analytics/,Licenses Yearly/Monthly,yearly 11520 | monthly 1200,upto 10% NGO discount,available from Zoho and implementation through EdZola,SDG 9,"TRRAIN, Simple Education Foundation","used for reporting, dashboards and insights"
,,Salesforce,No,Salesforce,https://www.salesforce.com/in/,https://www.salesforce.com/in/editions-pricing/overview/,,,,,,Discounted Price program for NGOs available
,,Google Analytics,No,Google,analytics.google.com,Free (Premium for GA 360),Variable for GA 360,Free tier available,Extensive online resources and forums,,,Standard for website analytics; integrates with other Google tools.
,,Google Looker Studio,No,Google,lookerstudio.google.com,Free,Free,N/A,Google support and community,,,Same as Looker Studio; includes enterprise-level options with Google Cloud integration.
,Dashboarding,Power BI,No,Microsoft,powerbi.microsoft.com,"Free, Pro, Premium https://www.microsoft.com/en-in/power-platform/products/power-bi/pricing",Starts at 830rupees/user/month,Free version available for basic needs,"Extensive documentation, online support forums, premium for enterprises",,,Affordable for smaller organizations​
,,Tableau,No,Tableau Software,tableau.com,"Subscription-based, Free Public version",Starts at $35/user/month,Free trial and Tableau Public (limited features),"Online forums, premium support for paid plans",,,Advanced visualization features​
,,Superset,Yes,Apache,superset.apache.org,Free,Free,N/A,Community support,,,Open-source BI tool with extensive customization and integration capabilities.
,,HotJar,No,HotJar Ltd.,hotjar.com,Subscription-based https://www.hotjar.com/pricing/,Starts at $32/month,Free tier available,Email and chat support,Quality Education (SDG 4),,User behavior tracking tool; suitable for UX improvements.
,,Samajaa,No,Frappe Technologies,samajaa.org,Custom pricing,Varies,N/A,Limited support details,,,Tailored for nonprofit data tracking; integrates well with local systems.
,,Dalgo,Yes,Tech4Dev,https://dalgo.in/,https://dalgo.in/pricing/,,,,,"Goalkeep, SHRI, TAP, The Agency Fund",
,,Big Query,N,Google,cloud.google.com/bigquery,Pay-as-you-go,Varies by query,Free usage limits,24/7 Support,Industry Innovation,-,Managed data warehouse
,,Salesforce,No,Salesforce,https://www.salesforce.com/in/,https://www.salesforce.com/in/editions-pricing/overview/,,,,,,Discounted Price program for NGOs available
,,Google Looker Studio,No,Google,lookerstudio.google.com,Free,Free,N/A,Google support and community,,,Same as Looker Studio; includes enterprise-level options with Google Cloud integration.
,End to end Development Program Management,Participatory Digital Attestation,No,Socion.io,https://www.socion.io/what-we-do/platforms/,,,,Email,Agnostic,,
Fundraising,Grant/Donor Management,Zoho CRM,No,Zoho CRM,https://www.zoho.com/en-in/crm,"₹2,400/user/month billed annually",,Free up to 3 User,We provide end to end implementation Support with Zoho.,17,,
,,ERPNext DMS,Yes,ERPNext,https://docs.erpnext.com/docs/v13/user/videos/learn/file-manager,Free or paid for hosted version,Varies,NA,Limited to community and paid support,Partnerships for Goals,NA,Customization may require technical expertise
,,Salesforce CRM,No,Salesforce,https://www.salesforce.com/in/crm/,Subscription-based https://www.salesforce.com/uk/sales/pricing/,Varies by plan (contact for quote),"30 days free trial; The Power of Us program gives eligible nonprofit organisations access to Salesforce products and resources to help expand their collective impact. The program includes 10 donated Salesforce subscriptions and deep discounts on additional subscriptions, products and services from Salesforce. https://www.salesforce.com/uk/solutions/industries/nonprofit/overview/","24/7 support, knowledge base, community",,,Highly customizable and scalable; nonprofit version available.
,,DMSHive,No,DigiMantra Labs,http://ifr.wwfdmshive.com,Subscription-based https://www.bigin.com/pricing.html?source_from=biginheadernew,Contact for pricing,No free credits,"Email, phone, live chat, knowledge base",,,Designed specifically for donor and grant management for nonprofits.
,,Bigin,No,Zoho CRM,https://www.bigin.com,Subscription-based,Starts at 400/user/month to 1080/user/month,"15 day free trial, free for single user","Email support, community forums
",,,"Tailored for small teams, simple CRM setup within the Zoho ecosystem."
,,Hubspot,No,Hubspot Inc,https://www.hubspot.com/products/crm,Freemium with paid plans https://www.hubspot.com/pricing/marketing/starter?hubs_content=www.hubspot.com%2Fproducts%2Fcrm&hubs_content-cta=nav-pricing&term=annual,"Free tools up to two users, plans start at $15/month/seat","14-day free trial on paid plans, 40% discount for nonprofits https://www.hubspot.com/nonprofits","24/7 support, knowledge base, live chat",,,Great for marketing automation and donor engagement.
,,Notion,No,Notion,https://www.notion.so,Freemium with paid plans https://www.notion.so/pricing,"Free for individuals, paid plans from $10/user/month","50% discount for nonprofits, starts at $5/seat/month https://www.notion.so/pages/nonprofits","Email support, community forums
",,,"Flexible tool, but not specialised for donor management."
,,ERP4Impact,No,Aria ERP4Impact LLP,https://erp4impact.com,Subscription-based,Contact for pricing,NA,"Email, phone, support community",,"Access Life, Atma, Life Tree","Tailored for nonprofits, integrates ERP with donor and grant management."
,,Streak,No,Streak,https://www.streak.com,Subscription-based  https://www.streak.com/pricing,Starts at $59/user/month,20% discount if billed annually,"Email, knowledge base, community ",,,"Works within Gmail; useful for smaller nonprofits, "
